RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
0.999908; 0.999786; 1.01057; 1.02138; 0.999809; 0.99994; 1.19848; 1.49558; 2.48394; 7.18062; 0.329929; 0.30054; 0; 0
1.00002; 1.00004; 1.01539; 0.994183; 0.999891; 0.999968; 1.07808; 1.09709; 1.94749; 4.014; 0.294931; 0.466579; 0; 0
1.00001; 1; 0.981748; 0.997513; 0.99999; 0.999919; 1.04131; 1.1559; 1.1947; 2.60154; 0.380543; 0.443299; 0; 0
1.0001; 1.00012; 0.983182; 0.999618; 0.999621; 1.00002; 1; 1.19967; 0.654914; 4.56956; 0.369183; 0.401339; 0; 0
0.999964; 0.99996; 1.01189; 0.977243; 1.0001; 1.00005; 1.58528; 1.54898; 7.62692; 5.86221; 0.342966; 0.360001; 0; 0
1.00001; 0.999947; 1.01277; 1.01147; 1.00024; 1.00022; 1.14925; 1.14352; 0.239211; 0.691658; 0.343831; 0.353554; 0; 0
0.999988; 0.999985; 1.00054; 0.980886; 1.00006; 1.00004; 1.49716; 1.46455; 0.475989; 1.25068; 0.323549; 0.416774; 0; 0
1.00001; 1.00011; 1.00975; 0.988955; 0.999942; 1.00003; 1.38368; 1.4079; 0.226585; 0.683004; 0.298827; 0.350926; 0; 0
0.999998; 1; 1.02906; 1.02805; 1.00003; 1.00011; 1.3692; 1.30197; 2.88026; 6.34521; 0.250892; 0.240692; 0; 0
1; 1.00008; 1.00566; 1.00001; 1.00006; 0.999891; 1.21129; 1.15879; 0.542853; 3.22383; 0.26195; 0.301771; 0; 0
1.00003; 1; 1.00437; 0.999185; 1.00008; 1.00013; 1.18333; 0.961036; 0.692448; 4.60583; 0.235184; 0.256568; 0; 0
1; 1; 0.987569; 0.981014; 0.999997; 0.999997; 0.956626; 0.91745; 0.273237; 1.55107; 0.209733; 0.242608; 0; 0
1.00003; 1.00008; 1.00871; 1.0059; 0.999926; 0.999917; 1.16649; 1.18546; 0.10508; 0.444816; 0.254896; 0.307812; 0; 0
1; 1.00002; 1.02246; 1.01853; 1.00003; 0.999812; 1.06855; 1.08964; 0.119973; 0.670802; 0.18541; 0.208823; 0; 0
0.999977; 1.00006; 1.01877; 1.01765; 0.999952; 0.999955; 1.13054; 1.08315; 0.0719826; 0.418892; 0.212706; 0.213664; 0; 0
1.00001; 1.00001; 1.01394; 1.01135; 1.00026; 1.00018; 1.80989; 1.7924; 0.18276; 0.751952; 0.172347; 0.179846; 0; 0
1.00001; 1.00006; 1.01453; 1.01317; 1.0001; 0.999624; 1.84523; 1.83214; 0.118313; 0.46205; 0.123407; 0.145099; 0; 0
1.00001; 1.00009; 1.03456; 1.03093; 1.00026; 0.99915; 1.76877; 1.83586; 0.657394; 0.742319; 0.105231; 0.123545; 0; 0
1.00003; 1.00003; 1.03887; 1.0358; 0.99971; 0.99968; 1.67598; 1.71261; 0.496799; 0.601733; 0.112294; 0.125963; 0; 0
0.999995; 1.00001; 1.00872; 1.00875; 1.00001; 1.00002; 1.3577; 1.32175; 0.832094; 1.84096; 0.11797; 0.155255; 0; 0
1.00005; 0.999979; 1.01592; 1.01202; 0.999534; 1; 1.64629; 1.01736; 0.273217; 4.26398; 0.116782; 0.13266; 0; 0
0.999977; 0.99999; 1.02219; 1.02044; 1.00001; 0.999966; 1.81386; 1.70062; 0.223902; 0.845709; 0.104388; 0.111347; 0; 0
1.00005; 1.0001; 1.03516; 1.02455; 0.999495; 0.99952; 1.78182; 1.81917; 0.532543; 0.79107; 0.12937; 0.204282; 0; 0
0.99984; 0.999888; 1.02458; 1.02277; 1.00028; 0.999456; 1.80578; 1.63379; 0.215889; 1.4518; 0.105595; 0.120008; 0; 0
1.00001; 1.00005; 0.989624; 0.991461; 1.00003; 1.00006; 1.17411; 1.1881; 0.10862; 0.273196; 0.226431; 0.239444; 0; 0
0.999945; 0.999966; 1.0108; 1.01264; 1.00008; 0.999916; 1.03533; 1.07592; 2.36385; 0.79643; 0.153329; 0.242638; 0; 0
0.999976; 1.00006; 1.01709; 1.01726; 1.00003; 0.999796; 1.21689; 1.06309; 0.355075; 2.59406; 0.119908; 0.126949; 0; 0
0.999989; 1.00001; 1.01218; 1.03016; 1.00001; 1.00002; 1.12189; 1.09707; 0.851581; 5.59099; 0.164167; 0.337537; 0; 0
1.00007; 0.999944; 1.01711; 1.01908; 0.999801; 0.999849; 1.01317; 1.41983; 0.0903084; 3.73966; 0.18603; 0.202942; 0; 0
1.00003; 1.00003; 0.994323; 0.992723; 1.00003; 1.00001; 1.05178; 1.0804; 0.157495; 0.565279; 0.194367; 0.194484; 0; 0
1.00002; 1.00001; 1.02231; 1.02179; 0.999794; 1; 1.12915; 1.18589; 0.772488; 1.82704; 0.170554; 0.172215; 0; 0
0.999962; 0.99999; 1.00605; 1.0106; 0.999467; 0.999797; 1.20574; 1.17826; 0.424203; 0.936645; 0.204844; 0.238854; 0; 0
1.00003; 1.00008; 1.01797; 1.03799; 0.998912; 0.999415; 1.35896; 1.34617; 0.357136; 2.95302; 0.254438; 0.32847; 0; 0
1.0005; 1.00001; 1.09958; 0.99339; 0.9986; 0.999438; 1.13261; 1.29167; 1.87482; 2.57872; 0.341258; 0.187546; 0; 0
1.00006; 1.00026; 1.00906; 0.996242; 0.999871; 0.999848; 1.18513; 1.15758; 0.490095; 3.20986; 0.250538; 0.267598; 0; 0
1.00011; 1.00008; 1.03677; 0.980678; 0.999723; 0.99986; 1.08535; 1.24367; 1.22335; 3.54091; 0.283684; 0.258332; 0; 0
1.00012; 1.00018; 0.994422; 0.999909; 0.99978; 0.999464; 1.15067; 1.04033; 2.19907; 3.49503; 0.297648; 0.327847; 0; 0
1.00006; 1.00007; 1.0197; 0.993567; 0.999939; 0.999836; 1.03122; 1.04385; 1.22233; 3.03172; 0.224189; 0.235337; 0; 0
0.999995; 1.00002; 0.996971; 0.98601; 0.999926; 0.999921; 0.874344; 0.851011; 0.0904392; 1.89585; 0.222068; 0.254016; 0; 0
1; 1; 1.03203; 1.03169; 0.999662; 0.999666; 1.15056; 1.15077; 0.155131; 0.154152; 0.154834; 0.157231; 0; 0
1; 1.00005; 1.01037; 1.00696; 1.00002; 0.999975; 1.04795; 1.18319; 0.0550369; 3.82206; 0.278843; 0.290038; 0; 0
